gene_id,PIM046_A3,PIM056_A3,PIM242,PIM014,PIM077,PIM137,PIM254,PIM040,PIM053,PIM091,PIM262,PIM068,PIM163,PIM010,PIM025,PIM164
ACE,6.19,0.27,4.96,0.03,,1.08,11.76,1.64,17.16,22.91,0.53,0.5,0.5,7.44,2.26,14.16
ACE2,0.29,0.46,8.16,0,,9.77,6.17,0.4,20.78,118.95,464.04,3,0.52,0.11,0.65,2.18
ACER1,0,0,0.13,0,,0,0.52,0,0.25,0.62,0.1,0.18,0,0,0,0
ACER2,1.27,2.74,5.34,3.04,,5.25,5.19,6.54,2.42,17.22,4.55,4.39,3.12,3.71,2,5.49
ACER3,3.32,11.81,2.04,0.7,,1.79,2.81,13.52,3.33,1.29,12.06,3.04,0.29,6.15,13.95,1.56
ACHE,0.23,0.44,0.83,0.04,,5.23,1.86,0.63,2.92,8.27,0.66,1.78,0,3.1,1.68,0.4
ACIN1,62.87,80.78,40.78,85.19,,72.78,62.03,121.52,58.36,45.31,70.63,33.23,69.11,93.74,91.5,140.83
ACKR1,0,10.86,10.18,0.07,,10.29,4.81,0,1.03,0,0,3.54,0,0,0,0.78
ACKR2,0.29,20.73,26.71,20.41,,46.45,7.83,0.51,100.03,305.36,170,3.32,0.86,0.42,0.63,2.05
ACKR3,0,0.83,2.84,0,,1.76,9.3,0,1.55,23.62,0,3.65,0,0.28,0.86,0.89
ACKR4,0,0.03,14.57,0.09,,29.07,13.51,0.15,2.77,2.6,11.95,16.33,6.29,0.17,0.19,21.17
ACLY,151.04,135.92,124.5,128.45,,96.86,155.02,137.68,126.56,154.47,156.36,94.87,66.66,109.9,112.23,209.76
ACMSD,0,0,0.54,0,,1.45,0.07,0.31,0.21,0,0.35,0.93,0.25,0,0,3.42
ACO1,15.64,24.81,26.69,18.58,,45.24,82.5,23.21,67.51,100.69,30.05,11.03,69,26.09,54.8,24.67
ACO2,94.24,100.66,33.33,122.23,,19.42,36.86,386.35,49.43,49.52,37.89,26.64,45.42,259.44,126.31,88.38
ACOD1,0,0,2.55,0,,2.58,1.58,0,0.94,0,0,2.85,0,0,0,1.78
ACOT1,24.44,26.07,16.63,4.63,,14.61,97.87,13.43,16.32,61.67,69.98,19.61,3.47,28.22,39.76,40.52
ACOT11,0.36,0.33,1.3,8.74,,6.66,7.99,0.78,0.7,14.93,0.8,1.99,0.1,34.2,0.78,18.32
ACOT12,0.02,0,0.19,0,,0.86,0.13,0,0.05,0.21,0,0.27,0,0.1,0.34,0.16
ACOT13,14.04,24.02,31.8,9.66,,31.56,102.87,8.95,87.02,32.47,63.83,40.09,63.34,11.33,8.79,118.9
ACOT2,25.01,37.48,9.85,23.17,,23.57,41.57,27.83,58.2,78.73,87.58,10.16,19.71,38.3,75.17,29.36
ACOT4,2.8,4.16,3.52,1.37,,5.7,3.53,2.06,14.83,15.81,12.47,2.56,12.65,6.21,9.36,9.47
