Sample,Type,PIM046_A3,PIM056_A3,185_057_X0_P3,185_026_X0_P3,185_037_X0_P3,185_071_X0_P3,185_002_X0_P3,185_049_X0_P3,185_128_X0_P3,185_129_X0_P3
Trial_ID,Meta,185,185,185,185,185,185,185,185,185,185
Patient_ID,Meta,32,40,57,26,37,71,2,49,128,129
TimePoint,Meta,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre,Pre
Passage,Meta,P3,P3,P3,P3,P3,P3,P3,P3,P3,P3
Source,Meta,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX,PDX
Have_RNA_seq,Meta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIM_ID,Meta,PIM046,PIM056,PIM077,PIM040,PIM053,PIM091,PIM010,PIM068,PIM163,PIM164
RCB_status,Meta,RCB-II,RCB-III,RCB-II,RCB-II,RCB-I,RCB-III,RCB-II,pCR,RCB-III,RCB-I
VB_Subtype,Meta,BL2,BL2,BL2,LAR,LAR,LAR,M,M,M,UNS
ABCA7,Exp,499,1270,211,551,794,682,587,431,1987,1708
ABCA8,Exp,6,0,0,0,1347,1979,0,1347,3363,1978
ABCA9,Exp,0,2,0,12,1617,2170,0,1363,3781,2228
ABCB1,Exp,3,3,0,0,958,1361,0,864,2975,7068
ABCB10,Exp,2433,1360,604,562,4282,609,1808,3066,3283,2545
ABCB11,Exp,0,0,0,0,1064,1002,0,1013,2474,1108
ABCB4,Exp,0,0,0,1,1408,2752,7,1189,3329,1910
ABCB5,Exp,0,0,0,0,2272,2724,0,1171,4774,2775
ABCB6,Exp,1870,805,1269,1255,3357,412,1549,1215,1741,1234
ABCB7,Exp,1344,1216,468,410,5305,1234,662,2159,1286,2343
ABCB8,Exp,1744,1829,408,639,773,232,896,138,1652,355
ABCB9,Exp,277,162,546,308,919,372,1095,189,2129,331
ABCC1,Exp,1951,919,5234,875,4288,1561,8911,3723,2651,2142
ABCC10,Exp,1711,868,717,708,1941,526,1859,572,2932,1781
ABCC11,Exp,7,9,15,13,925,3961,45,760,2193,758
ABCC12,Exp,0,0,0,2,681,1936,4,1089,2876,1031
ABCC2,Exp,15,80,12,9,1014,1630,33,1456,3528,1448
ABCC3,Exp,52,2405,21,135,2469,612,197,530,2566,1080
ABCC4,Exp,1007,645,380,1514,7307,1687,757,2341,3368,2385
ABCC5,Exp,2268,939,1136,529,1557,1502,2427,4074,3453,3869
ABCC6,Exp,47,0,48,6,1435,1336,29,802,2684,1186
ABCC8,Exp,1,0,2,0,363,1192,18,530,2457,2802
ABCC9,Exp,118,0,1192,4,462,1373,18,1589,2501,963
ABCD1,Exp,2738,978,32,746,315,146,1689,104,649,357
ABCD2,Exp,19,0,0,0,408,377,2,269,866,215
ABCD3,Exp,7791,2498,686,571,5325,1947,1135,1676,3967,3234
ABCD4,Exp,805,811,650,335,1465,295,974,261,1516,740
ABCE1,Exp,5636,4084,1038,2073,18751,2095,1674,7256,3106,2915
ABCF1,Exp,2481,5847,3476,2636,6594,1136,3597,1799,2711,2567
ABCF2,Exp,5418,3837,1883,1855,3154,1391,2399,869,2085,1694
ABCF3,Exp,4379,2021,824,1535,2840,721,2085,1236,1325,998
ABCG1,Exp,135,15,0,585,852,654,180,482,4497,518
ABCG2,Exp,22,19,12,0,497,1305,8,401,1670,411
ABCG4,Exp,21,1,0,1,184,312,3,210,717,168
ABCG5,Exp,3,0,0,19,388,539,0,389,1788,719
ABCG8,Exp,3,0,0,23,590,886,4,475,2083,1532
ABHD1,Exp,21,8,12,6,285,231,2,126,1111,446
ABHD10,Exp,699,876,301,714,2113,362,351,518,796,760
ABHD11,Exp,2248,1468,148,1057,3822,1470,517,261,525,402
ABHD12,Exp,5936,2089,1211,1385,5929,663,1082,388,1238,642
ABHD12B,Exp,0,0,6,0,370,403,1,212,1033,450
ABHD13,Exp,1399,1086,118,88,3064,1059,503,1905,1225,1727
ABHD14A,Exp,239,96,65,117,226,27,114,28,215,76
ABHD14A-ACY1,Exp,0,0,0,0,0,0,0,0,0,0
ABHD14B,Exp,1151,1665,606,542,2648,400,259,249,594,248
ABHD15,Exp,391,668,200,120,520,120,515,199,366,330
ABHD16A,Exp,2331,2074,560,1068,3268,917,1394,922,2315,2248
ABHD16B,Exp,1,0,4,0,70,88,1,36,349,126
ABHD17A,Exp,2285,1580,1158,1136,713,215,1827,261,584,520
ABHD17B,Exp,1991,525,171,353,1380,255,206,1235,451,336
ABHD17C,Exp,1616,943,1149,396,1841,268,814,651,464,637
ABHD18,Exp,1124,405,121,303,2164,1884,507,1938,1465,1676
ABHD2,Exp,11924,3635,1803,6151,6270,1685,7483,1069,1929,2646
ABHD3,Exp,366,929,142,658,1196,478,230,785,1746,1162
ABHD4,Exp,1794,1550,2427,409,1457,302,213,167,796,587
ABHD5,Exp,2701,1561,187,722,2401,1016,607,1533,1284,644
ABHD6,Exp,278,92,11,133,440,475,233,187,1149,333
ABHD8,Exp,1317,876,100,324,160,79,1292,40,435,90
ABI1,Exp,4617,5140,1943,2458,11089,1228,2292,4415,2293,901
ABI2,Exp,3132,3117,1825,1014,5813,1173,3935,10611,3189,6970
ABI3,Exp,0,0,0,0,83,90,1,65,637,218
ABI3BP,Exp,3,1,19,0,3998,4036,14,3393,7104,3057
ABL1,Exp,2407,2022,1650,996,5808,1241,3794,731,2015,1475
ABL2,Exp,1388,4805,1034,1090,3701,1146,8301,1512,3734,2899
ABLIM1,Exp,5360,7982,2494,1566,32176,2581,932,743,3304,2464
ABLIM2,Exp,6,260,5,3,286,291,17,132,1202,811
ABLIM3,Exp,24,3936,20,17,339,1951,292,1069,2080,965
ABO,Exp,4,1,1,11,88,271,0,26,464,72
ABR,Exp,969,3950,1117,1164,3945,1727,2312,636,2480,1141
ABRA,Exp,0,0,0,0,320,181,0,200,307,66
ABRACL,Exp,18873,5163,287,1819,4558,345,1178,945,420,143
ABRAXAS1,Exp,1852,361,76,92,734,785,175,492,1071,290
ABRAXAS2,Exp,1516,1190,390,487,4261,374,589,1326,1284,1021
ABT1,Exp,2251,2021,972,313,710,56,1025,97,353,167
ABTB1,Exp,323,320,135,191,200,151,275,119,863,240
ABTB2,Exp,1987,903,2045,1365,1601,404,1836,174,2376,529
ACAA1,Exp,1769,1705,583,1655,2049,422,986,200,1260,187
ACAA2,Exp,7122,2052,837,607,58888,2283,3623,15298,5221,4237
ACACA,Exp,6892,6777,2556,2914,37430,9473,3755,13647,7853,8531
ACACB,Exp,309,12,437,268,1304,1877,1967,1327,3942,3204
ACAD10,Exp,876,1432,686,270,1611,636,1040,741,1507,871
ACAD11,Exp,324,373,335,368,604,983,558,1242,1404,1359
ACAD8,Exp,1910,856,319,1228,1236,238,231,149,333,372
ACAD9,Exp,2480,2118,1621,959,2959,948,2638,1688,1959,1897
ACADL,Exp,199,14,11,7,3085,379,150,544,1016,432
ACADM,Exp,2973,1967,269,1219,28115,2114,1281,693,2545,3720
ACADS,Exp,580,9,409,491,176,83,585,58,665,137
ACADSB,Exp,122,849,4460,499,595,356,493,506,1087,341
ACADVL,Exp,14320,14038,2677,6577,14350,2326,3304,1353,1081,1024
ACAN,Exp,1,12,1,2,196,400,42870,152,2099,437
ACAP1,Exp,4,33,8,4,437,400,30,165,1279,268
ACAP2,Exp,3652,2546,1566,944,3962,1777,2230,5282,2764,2550
ACAP3,Exp,850,2353,521,1661,462,136,1939,61,1382,253
ACAT1,Exp,5304,1851,684,4587,7255,1520,661,1678,860,853
ACAT2,Exp,2868,27,2812,712,7990,689,1316,2364,2498,680
ACBD3,Exp,5366,4095,1552,1579,13720,1540,3817,6278,3799,2683
ACBD4,Exp,494,260,108,137,387,156,61,84,515,153
ACBD5,Exp,1870,2900,330,789,19150,1869,759,3304,2964,1264
ACBD6,Exp,1607,1464,1493,311,4784,714,1911,1823,1374,1584
ACBD7,Exp,1304,171,263,736,253,49,16,98,277,65
ACCS,Exp,425,108,65,82,782,744,159,340,1458,1322
ACCSL,Exp,0,0,0,0,216,220,0,133,1164,561
ACD,Exp,435,1240,356,289,413,236,1020,142,582,495
ACE,Exp,762,28,13,89,3594,738,498,302,2565,1222
ACE2,Exp,29,32,7,12,3945,2045,4,1198,1675,604
ACER1,Exp,0,0,0,0,86,70,0,49,408,154
ACER2,Exp,101,141,67,200,505,535,127,427,760,408
ACER3,Exp,689,1604,1932,1046,1389,376,635,534,475,206
ACHE,Exp,13,20,3,18,286,148,91,64,879,164
ACIN1,Exp,5738,5192,5472,4564,11686,1657,4162,2556,2896,4881
ACKR1,Exp,0,393,0,0,112,101,0,110,683,291
ACKR2,Exp,32,1239,4,17,11887,3100,18,179,1133,236
ACKR3,Exp,0,33,0,0,129,185,6,106,361,87
ACKR4,Exp,0,0,0,2,117,294,2,308,530,328
